surface_text,book,chapter,verse,clause_atom,predicate,reference,participant,actor,slots,func,compound,otype
J>KLW,Leviticus,22,11,528731,>KL,>KL,3pm=JLJD BJT+KHN,JLJD BJT KHN,65563,VbPred,1807,944851
B-LXMW,Leviticus,22,11,528731,>KL,B LXM+312,...,...,65564 65565,Compl1,1808 1809,...
sfx:W,Leviticus,22,11,528731,>KL,sfx,3sm=KHN,KHN,65565,#NAVN?,1809,65565
BT KHN,Leviticus,22,12,528732,....,BT KHN,3sf=BT KHN,BT KHN,65567 65568,572,1810 1811,944854
KHN,Leviticus,22,12,528732,....,KHN,3sm=KHN,KHN,65568,#NAVN?,1811,1317861
THJH,Leviticus,22,12,528733,HJH,HJH,3sf=BT KHN,BT KHN,65570,VbPred,1812,944856
L->JC ZR,Leviticus,22,12,528733,HJH,L >JC ZR,...,BT KHN,65571 65572 65573,PrCompl,1813,944857
HW>,Leviticus,22,12,528734,>KL,HJ>,3sf=BT KHN,BT KHN,65574,Subj,1814,944858
B-TRWMT H-QDCJM,Leviticus,22,12,528734,>KL,B TRWMH H QDC,...,...,65575 65576 65577 65578,Compl1,1815 1816,...
H-QDCJM,Leviticus,22,12,528734,>KL,H QDC,0pm=QDC,QDC,65577 65578,#NAVN?,1816,1317865
T>KL,Leviticus,22,12,528734,>KL,>KL,3sf=BT KHN,BT KHN,65580,VbPred,1817,944861
BT KHN,Leviticus,22,13,528735,....,BT KHN,3sf=BT KHN,BT KHN,65582 65583,Subj,1818 1819,944863
KHN,Leviticus,22,13,528735,....,KHN,3sm=KHN,KHN,65583,#NAVN?,1819,1317867
THJH,Leviticus,22,13,528736,HJH,HJH,3sf=BT KHN,BT KHN,65585,VbPred,1820,944865
>LMNH W-GRWCH,Leviticus,22,13,528736,HJH,>LMNH W GRC,...,BT KHN,65586 65587 65588,PrCompl,1821 1822 1823,944866
>LMNH,Leviticus,22,13,528736,HJH,>LMNH,3sf=BT KHN,...,65586,#NAVN?,1822,...
GRWCH,Leviticus,22,13,528736,HJH,GRC,...,...,65588,#NAVN?,1823,...
ZR<,Leviticus,22,13,528737,....,ZR<,...,...,65590,Subj,1824,...
sfx:H,Leviticus,22,13,528737,....,sfx,3sf=BT KHN,BT KHN,65592,PrCompl,1825,65592
CBH,Leviticus,22,13,528738,CWB,CWB,3sf=BT KHN,BT KHN,65594,VbPred,1826,944872
>L BJT >BJH,Leviticus,22,13,528738,CWB,>L BJT >B+S,...,...,65595 65596 65597,Compl1,1827 1828 1829,...
>BJH,Leviticus,22,13,528738,CWB,>B+311,0sm=>B+BT KHN,>B BT KHN,65597,#NAVN?,1828 1829,1317871
sfx:H,Leviticus,22,13,528738,CWB,sfx,3sf=BT KHN,BT KHN,65597,#NAVN?,1829,65597
K-N<WRJH,Leviticus,22,13,528738,CWB,K N<WRJM+311,...,...,65598 65599,Adjunc,1830 1831,...
sfx:H,Leviticus,22,13,528738,CWB,sfx,3sf=BT KHN,BT KHN,65599,#NAVN?,1831,65599
M-LXM >BJH,Leviticus,22,13,528739,>KL,MN LXM >B+S,3sm=LXM >B+BT KHN,LXM >B BT KHN,65600 65601 65602,Compl1,1832 1833 1834,944875
>BJH,Leviticus,22,13,528739,>KL,>B+311,0sm=>B+BT KHN,>B BT KHN,65602,#NAVN?,1833 1834,1317873
sfx:H,Leviticus,22,13,528739,>KL,sfx,3sf=BT KHN,BT KHN,65602,#NAVN?,1834,65602
T>KL,Leviticus,22,13,528739,>KL,>KL,3sf=BT KHN,BT KHN,65603,VbPred,1835,944876
ZR,Leviticus,22,13,528740,>KL,ZR,3sm=ZR,ZR,65606,Subj,1836,1317875
J>KL,Leviticus,22,13,528740,>KL,>KL,3sm=ZR,ZR,65608,VbPred,1837,944880
sfx:W,Leviticus,22,13,528740,>KL,sfx,3sm=LXM >B+BT KHN,LXM >B BT KHN,65609,Compl1,1838,65609
>JC,Leviticus,22,14,528741,....,>JC,3sm=>JC,>JC,65611,572,1839,944883
J>KL,Leviticus,22,14,528742,>KL,>KL,3sm=>JC,>JC,65613,VbPred,1840,944885
QDC,Leviticus,22,14,528742,>KL,QDC,3sm=QDC,QDC,65614,Obj1,1841,944886
B-CGGH,Leviticus,22,14,528742,>KL,B CGGH,...,...,65615 65616,Adjunc,1842,...
JSP,Leviticus,22,14,528743,JSP,JSP,3sm=>JC,>JC,65618,VbPred,1843,944889
XMCJTW,Leviticus,22,14,528743,JSP,XMJCJT+312,...,...,65619,Obj1,1844 1845,...
sfx:W,Leviticus,22,14,528743,JSP,sfx,3sm=QDC,QDC,65619,#NAVN?,1845,65619
sfx:W,Leviticus,22,14,528743,JSP,sfx,3sm=QDC,QDC,65620,Compl1,1846,65620
NTN,Leviticus,22,14,528744,NTN,NTN,3sm=>JC,>JC,65622,VbPred,1847,944893
L--KHN,Leviticus,22,14,528744,NTN,L H KHN,3sm=KHN,KHN,65623 65624 65625,Compl1,1848,944894
>T H-QDC,Leviticus,22,14,528744,NTN,>T H QDC,3sm=QDC,QDC,65626 65627 65628,Obj1,1849,944895
JXLLW,Leviticus,22,15,528745,XLL,XLL,3pm=>HRN BN+>HRN,>HRN BN >HRN,65631,VbPred,1850,944898
>T QDCJ BNJ JFR>L,Leviticus,22,15,528745,XLL,>T QDC BN JFR>L,0pm=QDC BN JFR>L,QDC BN JFR>L,65632 65633 65634 65635,Obj1,1851 1852 1853,944899
BNJ JFR>L,Leviticus,22,15,528745,XLL,BN JFR>L,3pm=>HRN BN+>HRN,BN JFR>L,65634 65635,#NAVN?,1852 1853,1317879
JFR>L,Leviticus,22,15,528745,XLL,JFR>L,JFR>L,JFR>L,65635,#NAVN?,1853,1317878
JRJMW,Leviticus,22,15,528746,RWM,RWM,3pm=RWM,BN JFR>L,65638,VbPred,1854,944901
L-JHWH,Leviticus,22,15,528746,RWM,L JHWH,0sm=JHWH,JHWH,65639 65640,Compl1,1855,944902
HFJ>W,Leviticus,22,16,528747,NF>,NF>,3pm=>HRN BN+>HRN,>HRN BN >HRN,65642,VbPred,1856,944904
sfx:M,Leviticus,22,16,528747,NF>,sfx,3pm=>HRN BN+>HRN,BN JFR>L,65643,Obj1,1857,65643
<WN >CMH,Leviticus,22,16,528747,NF>,<WN >CMH,...,...,65644 65645,Obj2,1858 1859,...
>CMH,Leviticus,22,16,528747,NF>,>CMH,...,...,65645,#NAVN?,1859,...
B->KLM,Leviticus,22,16,528748,>KL,B >KL,3pm=>HRN BN+>HRN,>HRN BN >HRN,65646 65647,VbPred,1860 1861,944907
sfx:M,Leviticus,22,16,528748,>KL,sfx,3pm=>HRN BN+>HRN,>HRN BN >HRN,65647,Subj,1861,65647
>T QDCJHM,Leviticus,22,16,528748,>KL,>T QDC+332,0pm=QDC BN JFR>L,QDC BN JFR>L,65648 65649,Obj1,1862 1863,944908
sfx:HM,Leviticus,22,16,528748,>KL,sfx,3pm=>HRN BN+>HRN,BN JFR>L,65649,#NAVN?,1863,65649
>NJ,Leviticus,22,16,528749,....,>NJ,1sc=>NJ,JHWH,65651,Subj,1864,944910
JHWH,Leviticus,22,16,528749,....,JHWH,0sm=JHWH,JHWH,65652,PrCompl,1865,944911
MQDCM,Leviticus,22,16,528750,....,QDC,0sm=JHWH,JHWH,65653,534,1866 1867,944912
sfx:M,Leviticus,22,16,528750,....,sfx,3pm=>HRN BN+>HRN,>HRN BN >HRN,65653,Obj1,1867,65653
JDBR,Leviticus,22,17,528751,DBR,DBR,3sm=JHWH,JHWH,65655,VbPred,1868,944914
JHWH,Leviticus,22,17,528751,DBR,JHWH,3sm=JHWH,JHWH,65656,Subj,1869,944915
>L MCH,Leviticus,22,17,528751,DBR,>L MCH,0sm=MCH,MCH,65657 65658,Compl1,1870,944916
L->MR,Leviticus,22,17,528752,>MR,L >MR,3sm=JHWH,JHWH,65659 65660,VbPred,1871,944917
DBR,Leviticus,22,18,528753,DBR,DBR,2sm=,MCH,65661,VbPred,1872,944918
>L >HRN W->L BNJW W->L KL BNJ JFR>L,Leviticus,22,18,528753,DBR,>L >HRN W >L BN+S W >L KL BN JFR>L,3pm=>HRN BN+>HRN FR>L,>HRN BN >HRN BN JFR>L,65662 65663 65664 65665 65666 65667 65668 65669 65670 65671,Compl1,1873 1874 1875 1876 1877 1878 1879,944919
>L >HRN W->L BNJW,Leviticus,22,18,528753,DBR,>L >HRN W >L BN+S,0sm=>HRN BN+S,>HRN BN >HRN,65662 65663 65664 65665 65666,#NAVN?,1874 1875 1876 1877,1317884
>L >HRN,Leviticus,22,18,528753,DBR,>L >HRN,3sm=>HRN,>HRN,65662 65663,#NAVN?,1875,1317882
>L BNJW,Leviticus,22,18,528753,DBR,>L BN+312,0pm=BN+>HRN,BN >HRN,65665 65666,#NAVN?,1876 1877,1317883
sfx:W,Leviticus,22,18,528753,DBR,sfx,3sm=>HRN,>HRN,65666,#NAVN?,1877,65666
BNJ JFR>L,Leviticus,22,18,528753,DBR,BN JFR>L,0pm=BN JFR>L,BN JFR>L,65670 65671,#NAVN?,1878 1879,1317888
JFR>L,Leviticus,22,18,528753,DBR,JFR>L,JFR>L,JFR>L,65671,#NAVN?,1879,1317887
>MRT,Leviticus,22,18,528754,>MR,>MR,2sm=,MCH,65673,VbPred,1880,944921
sfx:HM,Leviticus,22,18,528754,>MR,sfx,3pm=>HRN BN+>HRN FR>L,>HRN BN >HRN BN JFR>L,65674,Compl1,1881,65674
>JC >JC,Leviticus,22,18,528755,....,>JC >JC,3pm=>JC >JC,>JC >JC,65675 65676,572,1882 1883 1884,944923
>JC,Leviticus,22,18,528755,....,>JC,...,...,65675,#NAVN?,1883,...
>JC,Leviticus,22,18,528755,....,>JC,3sm=>JC,>JC,65676,#NAVN?,1884,1317891
M-BJT JFR>L W-MN H-GR,Leviticus,22,18,528755,....,MN BJT JFR>L W MN H GR,...,...,65677 65678 65679 65680 65681 65682 65683,#NAVN?,1885 1886 1887 1888,...
M-BJT JFR>L,Leviticus,22,18,528755,....,MN BJT JFR>L,...,...,65677 65678 65679,#NAVN?,1886 1887,...
JFR>L,Leviticus,22,18,528755,....,JFR>L,JFR>L,JFR>L,65679,#NAVN?,1887,1317893
MN H-GR,Leviticus,22,18,528755,....,MN H GR,3sm=>JC,GR,65681 65682 65683,#NAVN?,1888,1317895
B-JFR>L,Leviticus,22,18,528755,....,B JFR>L,...,JFR>L,65684 65685,#NAVN?,1889,944925
JQRJB,Leviticus,22,18,528756,QRB,QRB,3sm=>JC,>JC >JC,65687,VbPred,1890,944927
QRBNW,Leviticus,22,18,528756,QRB,QRBN+312,...,...,65688,Obj1,1891 1892,...
sfx:NW,Leviticus,22,18,528756,QRB,sfx,3sm=>JC,>JC >JC,65688,#NAVN?,1892,65688
L-KL NDRJHM W-L-KL NDBWTM,Leviticus,22,18,528756,QRB,L KL NDR+S W L KL NDBH+S,...,...,65689 65690 65691 65692 65693 65694 65695,Compl1,1893 1894 1895 1896 1897,...
NDRJHM,Leviticus,22,18,528756,QRB,NDR+332,...,...,65691,#NAVN?,1894 1895,...
sfx:HM,Leviticus,22,18,528756,QRB,sfx,3pm=>JC >JC,>JC >JC,65691,#NAVN?,1895,65691
NDBWTM,Leviticus,22,18,528756,QRB,NDBH+332,...,...,65695,#NAVN?,1896 1897,...
sfx:M,Leviticus,22,18,528756,QRB,sfx,3pm=>JC >JC,>JC >JC,65695,#NAVN?,1897,65695
JQRJBW,Leviticus,22,18,528757,QRB,QRB,3pm=>JC >JC,>JC >JC,65697,VbPred,1898,944931
L-JHWH,Leviticus,22,18,528757,QRB,L JHWH,0sm=JHWH,JHWH,65698 65699,Compl1,1899,944932
L-<LH,Leviticus,22,18,528757,QRB,L <LH,...,...,65700 65701,Adjunc,1900,...
L-RYNKM,Leviticus,22,19,528758,....,L RYWN+232,...,TMJM ZKR,65702 65703,Adjunc,1901 1902,944934
sfx:KM,Leviticus,22,19,528758,....,sfx,2pm=,>HRN BN >HRN BN JFR>L,65703,#NAVN?,1902,65703
TMJM ZKR,Leviticus,22,19,528758,....,TMJM ZKR,...,TMJM ZKR,65704 65705,PrCompl,1903,944935
B--BQR B--KFBJM W-B--<ZJM,Leviticus,22,19,528758,....,B H BQR B H KFB W B H <Z,...,...,65706 65707 65708 65709 65710 65711 65712 65713 65714 65715,#NAVN?,1904 1905 1906 1907,...
B--BQR,Leviticus,22,19,528758,....,B H BQR,BQR,BQR,65706 65707 65708,#NAVN?,1905,1317904
B--KFBJM,Leviticus,22,19,528758,....,B H KFB,...,...,65709 65710 65711,#NAVN?,1906,...
B--<ZJM,Leviticus,22,19,528758,....,B H <Z,...,...,65713 65714 65715,#NAVN?,1907,...
KL,Leviticus,22,20,528759,....,KL,3sm=,"3sm""HE""",65716,Obj1,1908,944937
sfx:W,Leviticus,22,20,528760,....,sfx,3sm=,"3sm""HE""",65718,PrCompl,1909,65718
MWM,Leviticus,22,20,528760,....,M>WM,3sm=M>WM,M>WM,65719,Subj,1910,944940
TQRJBW,Leviticus,22,20,528761,QRB,QRB,2pm=,>HRN BN >HRN BN JFR>L,65721,VbPred,1911,944942
L-RYWN,Leviticus,22,20,528762,HJH,L RYWN,0sm=RYWN,"3sm""HE""",65724 65725,PrCompl,1912,944945
JHJH,Leviticus,22,20,528762,HJH,HJH,3sm=,"3sm""HE""",65726,VbPred,1913,944946
sfx:KM,Leviticus,22,20,528762,HJH,sfx,2pm=,>HRN BN >HRN BN JFR>L,65727,Compl1,1914,65727
>JC,Leviticus,22,21,528763,....,>JC,3sm=>JC,>JC,65729,572,1915,944949
JQRJB,Leviticus,22,21,528764,QRB,QRB,3sm=>JC,>JC,65731,VbPred,1916,944951
ZBX CLMJM,Leviticus,22,21,528764,QRB,ZBX CLM,3sm=,...,65732 65733,Obj1,1917 1918,...
CLMJM,Leviticus,22,21,528764,QRB,CLM,...,...,65733,#NAVN?,1918,...
L-JHWH,Leviticus,22,21,528764,QRB,L JHWH,0sm=JHWH,JHWH,65734 65735,Compl1,1919,944953
L-PL>,Leviticus,22,21,528765,PL>,L PL>,3sm=>JC,>JC,65736 65737,VbPred,1920,944954
NDR,Leviticus,22,21,528765,PL>,NDR,0sm=NDR,NDR,65738,Obj1,1921,944955
L-NDBH,Leviticus,22,21,528766,....,L NDBH,0sf=NDBH,NDBH,65740 65741,Adjunc,1922,944957
B--BQR >W B--Y>N,Leviticus,22,21,528766,....,B H BQR >W B H Y>N,...,BQR Z>N,65742 65743 65744 65745 65746 65747 65748,#NAVN?,1923 1924 1925,944958
B--BQR,Leviticus,22,21,528766,....,B H BQR,BQR,BQR,65742 65743 65744,#NAVN?,1924,1317910
B--Y>N,Leviticus,22,21,528766,....,B H Y>N,...,...,65746 65747 65748,#NAVN?,1925,...
TMJM,Leviticus,22,21,528767,HJH,TMJM,...,BQR Z>N,65749,PrCompl,1926,944959
JHJH,Leviticus,22,21,528767,HJH,HJH,3sm=,BQR Z>N,65750,VbPred,1927,944960
L-RYWN,Leviticus,22,21,528767,HJH,L RYWN,0sm=RYWN,RYWN,65751 65752,Adjunc,1928,944961
MWM,Leviticus,22,21,528768,HJH,M>WM,3sm=M>WM,M>WM,65754,Subj,1929,1317913
JHJH,Leviticus,22,21,528768,HJH,HJH,3sm=M>WM,M>WM,65756,VbPred,1930,944964
sfx:W,Leviticus,22,21,528768,HJH,sfx,3sm=,BQR Z>N,65757,PrCompl,1931,65757
<WRT >W CBWR >W XRWY >W JBLT >W GRB >W JLPT,Leviticus,22,22,528769,....,<WRT >W CBWR >W XRWY >W JBLT >W GRB >W JLPT,3pf=<WRT CBWR XRWY JBLT GRB JLPT,<WRT CBWR XRWY JBLT GRB JLPT,65758 65759 65760 65761 65762 65763 65764 65765 65766 65767 65768,572,1932 1933 1934 1935 1936 1937 1938,944966
<WRT,Leviticus,22,22,528769,....,<WRT,...,...,65758,#NAVN?,1933,...
CBWR,Leviticus,22,22,528769,....,CBWR,...,...,65760,#NAVN?,1934,...
XRWY,Leviticus,22,22,528769,....,XRWY,...,...,65762,#NAVN?,1935,...
JBLT,Leviticus,22,22,528769,....,JBLT,...,...,65764,#NAVN?,1936,...
GRB,Leviticus,22,22,528769,....,GRB,...,...,65766,#NAVN?,1937,...
JLPT,Leviticus,22,22,528769,....,JLPT,...,...,65768,#NAVN?,1938,...
TQRJBW,Leviticus,22,22,528770,QRB,QRB,2pm=,>HRN BN >HRN BN JFR>L,65770,VbPred,1939,944968
>LH,Leviticus,22,22,528770,QRB,>LH,3pf=<WRT CBWR XRWY JBLT GRB JLPT,<WRT CBWR XRWY JBLT GRB JLPT,65771,Obj1,1940,944969
L-JHWH,Leviticus,22,22,528770,QRB,L JHWH,0sm=JHWH,JHWH,65772 65773,Compl1,1941,944970
>CH,Leviticus,22,22,528771,NTN,>CH,0sm=>CH,>CH,65775,Obj1,1942,944972
TTNW,Leviticus,22,22,528771,NTN,NTN,2pm=,>HRN BN >HRN BN JFR>L,65777,VbPred,1943,944974
sfx:HM,Leviticus,22,22,528771,NTN,sfx,3pf=<WRT CBWR XRWY JBLT GRB JLPT,<WRT CBWR XRWY JBLT GRB JLPT,65778,#NAVN?,1944,65778
<L H-MZBX,Leviticus,22,22,528771,NTN,<L H MZBX,...,...,65779 65780 65781,Compl1,1945,...
L-JHWH,Leviticus,22,22,528771,NTN,L JHWH,0sm=JHWH,JHWH,65782 65783,Compl2,1946,944977
CWR W-FH FRW< W-QLWV,Leviticus,22,23,528772,....,CWR W FH FR< W QLV,3sm=CWR FH FR< QLV,CWR FH FR< QLV,65785 65786 65787 65788 65789 65790,572,1947 1948 1949,944979
CWR,Leviticus,22,23,528772,....,CWR,0sm=CWR,CWR,65785,#NAVN?,1948,1317924
FH,Leviticus,22,23,528772,....,FH,FH,FH,65787,#NAVN?,1949,1317925
NDBH,Leviticus,22,23,528773,<FH,NDBH,0sf=NDBH,NDBH,65791,Obj1,1950,944980
T<FH,Leviticus,22,23,528773,<FH,<FH,2sm=,>HRN BN >HRN BN JFR>L,65792,VbPred,1951,944981
sfx:W,Leviticus,22,23,528773,<FH,sfx,3sm=CWR FH FR< QLV,CWR FH FR< QLV,65793,Obj2,1952,65793
L-NDR,Leviticus,22,23,528774,RYH,L NDR,0sm=NDR,NDR,65795 65796,Compl1,1953,944984
JRYH,Leviticus,22,23,528774,RYH,RYH,3sm=CWR FH FR< QLV,CWR FH FR< QLV,65798,VbPred,1954,944986
M<WK W-KTWT W-NTWQ W-KRWT,Leviticus,22,24,528775,QRB,M<K W KTT W NTQ W KRT,...,...,65800 65801 65802 65803 65804 65805 65806,Obj1,1955 1956 1957 1958 1959,...
M<WK,Leviticus,22,24,528775,QRB,M<K,...,...,65800,#NAVN?,1956,...
KTWT,Leviticus,22,24,528775,QRB,KTT,...,...,65802,#NAVN?,1957,...
NTWQ,Leviticus,22,24,528775,QRB,NTQ,...,...,65804,#NAVN?,1958,...
KRWT,Leviticus,22,24,528775,QRB,KRT,...,...,65806,#NAVN?,1959,...
TQRJBW,Leviticus,22,24,528775,QRB,QRB,2pm=,>HRN BN >HRN BN JFR>L,65808,VbPred,1960,944990
L-JHWH,Leviticus,22,24,528775,QRB,L JHWH,0sm=JHWH,JHWH,65809 65810,Compl1,1961,944991
B->RYKM,Leviticus,22,24,528776,<FH,B >RY+232,...,...,65812 65813,Locat,1962 1963,...
sfx:KM,Leviticus,22,24,528776,<FH,sfx,2pm=,>HRN BN >HRN BN JFR>L,65813,#NAVN?,1963,65813
T<FW,Leviticus,22,24,528776,<FH,<FH,2pm=,>HRN BN >HRN BN JFR>L,65815,VbPred,1964,944995
M-JD BN NKR,Leviticus,22,25,528777,QRB,MN JD BN NKR,...,...,65817 65818 65819 65820,Adjunc,1965 1966 1967,...
BN NKR,Leviticus,22,25,528777,QRB,BN NKR,...,...,65819 65820,#NAVN?,1966 1967,...
NKR,Leviticus,22,25,528777,QRB,NKR,...,...,65820,#NAVN?,1967,...
TQRJBW,Leviticus,22,25,528777,QRB,QRB,2pm=,>HRN BN >HRN BN JFR>L,65822,VbPred,1968,944999
>T LXM >LHJKM,Leviticus,22,25,528777,QRB,>T LXM >LHJM+S,...,...,65823 65824 65825,Obj1,1969 1970 1971,...
>LHJKM,Leviticus,22,25,528777,QRB,>LHJM+232,3pf=<WRT CBWR XRWY JBLT GRB JLPT,...,65825,#NAVN?,1970 1971,...
sfx:KM,Leviticus,22,25,528777,QRB,sfx,2pm=,>HRN BN >HRN BN JFR>L,65825,#NAVN?,1971,65825
>LH,Leviticus,22,25,528777,QRB,>LH,3pm=,<WRT CBWR XRWY JBLT GRB JLPT,65828,Compl1,1972,1317943
MCXTM,Leviticus,22,25,528778,....,MCXT+332,...,...,65830,Subj,1973 1974,...
sfx:M,Leviticus,22,25,528778,....,sfx,3pf=<WRT CBWR XRWY JBLT GRB JLPT,<WRT CBWR XRWY JBLT GRB JLPT,65830,#NAVN?,1974,65830
sfx:HM,Leviticus,22,25,528778,....,sfx,3pf=<WRT CBWR XRWY JBLT GRB JLPT,<WRT CBWR XRWY JBLT GRB JLPT,65831,PrCompl,1975,65831
MWM,Leviticus,22,25,528779,....,M>WM,3sm=M>WM,M>WM,65832,Subj,1976,945005
sfx:M,Leviticus,22,25,528779,....,sfx,3pf=<WRT CBWR XRWY JBLT GRB JLPT,<WRT CBWR XRWY JBLT GRB JLPT,65833,PrCompl,1977,65833
JRYW,Leviticus,22,25,528780,RYH,RYH,3pm=,<WRT CBWR XRWY JBLT GRB JLPT,65835,VbPred,1978,945008
sfx:KM,Leviticus,22,25,528780,RYH,sfx,2pm=,>HRN BN >HRN BN JFR>L,65836,Compl1,1979,65836
JDBR,Leviticus,22,26,528781,DBR,DBR,3sm=JHWH,JHWH,65838,VbPred,1980,945011
JHWH,Leviticus,22,26,528781,DBR,JHWH,3sm=JHWH,JHWH,65839,Subj,1981,945012
>L MCH,Leviticus,22,26,528781,DBR,>L MCH,0sm=MCH,MCH,65840 65841,Compl1,1982,945013
L->MR,Leviticus,22,26,528782,>MR,L >MR,3sm=JHWH,JHWH,65842 65843,VbPred,1983,945014
CWR >W KFB >W <Z,Leviticus,22,27,528783,....,CWR >W KFB >W <Z,3sm=CWR KFB <Z,CWR KFB <Z,65844 65845 65846 65847 65848,572,1984 1985 1986 1987 1988,945015
CWR >W KFB,Leviticus,22,27,528783,....,CWR >W KFB,...,...,65844 65845 65846,#NAVN?,1985 1986 1987,...
CWR,Leviticus,22,27,528783,....,CWR,0sm=CWR,CWR,65844,#NAVN?,1986,1317944
KFB,Leviticus,22,27,528783,....,KFB,...,...,65846,#NAVN?,1987,...
<Z,Leviticus,22,27,528783,....,<Z,...,...,65848,#NAVN?,1988,...
JWLD,Leviticus,22,27,528784,JLD,JLD,3sm=JLD,CWR KFB <Z,65850,VbPred,1989,945017
HJH,Leviticus,22,27,528785,HJH,HJH,3sm=CWR KFB <Z,CWR KFB <Z,65852,VbPred,1990,945019
CB<T JMJM,Leviticus,22,27,528785,HJH,CB< JWM,...,...,65853 65854,Time,1991 1992,...
JMJM,Leviticus,22,27,528785,HJH,JWM,...,...,65854,#NAVN?,1992,...
TXT >MW,Leviticus,22,27,528785,HJH,TXT >M+312,...,CWR KFB <Z,65855 65856,PrCompl,1993 1994,945021
sfx:W,Leviticus,22,27,528785,HJH,sfx,3sm=CWR KFB <Z,CWR KFB <Z,65856,#NAVN?,1994,65856
M-JWM H-CMJNJ,Leviticus,22,27,528786,RYH,MN JWM H CMJNJ,...,...,65858 65859 65860 65861,Time,1995 1996,...
H-CMJNJ,Leviticus,22,27,528786,RYH,H CMJNJ,...,...,65860 65861,#NAVN?,1996,...
JRYH,Leviticus,22,27,528786,RYH,RYH,3sm=CWR KFB <Z,CWR KFB <Z,65864,VbPred,1997,945026
L-QRBN >CH,Leviticus,22,27,528786,RYH,L QRBN >CH,...,...,65865 65866 65867,Compl1,1998 1999,...
>CH,Leviticus,22,27,528786,RYH,>CH,0sm=>CH,>CH,65867,#NAVN?,1999,1317953
L-JHWH,Leviticus,22,27,528786,RYH,L JHWH,0sm=JHWH,JHWH,65868 65869,Compl2,2000,945028
CWR >W FH,Leviticus,22,28,528787,....,CWR >W FH,3sm=CWR FH,CWR FH,65871 65872 65873,572,2001 2002 2003,945030
CWR,Leviticus,22,28,528787,....,CWR,0sm=CWR,CWR,65871,#NAVN?,2002,1317954
FH,Leviticus,22,28,528787,....,FH,FH,FH,65873,#NAVN?,2003,1317955
>TW W->T BNW,Leviticus,22,28,528788,CXV,>T W >T BN+S,...,...,65874 65875 65876 65877,Obj1,2004 2005 2006 2007 2008,...
>TW,Leviticus,22,28,528788,CXV,>T,...,...,65874,#NAVN?,2005 2006,...
sfx:W,Leviticus,22,28,528788,CXV,sfx,3sm=CWR FH,CWR FH,65874,#NAVN?,2006,65874
>T BNW,Leviticus,22,28,528788,CXV,>T BN+312,...,...,65876 65877,#NAVN?,2007 2008,...
sfx:W,Leviticus,22,28,528788,CXV,sfx,3sm=CWR FH,CWR FH,65877,#NAVN?,2008,65877
TCXVW,Leviticus,22,28,528788,CXV,CXV,2pm=,>HRN BN >HRN BN JFR>L,65879,VbPred,2009,945033
B-JWM >XD,Leviticus,22,28,528788,CXV,B JWM >XD,...,...,65880 65881 65882,Time,2010,...
TZBXW,Leviticus,22,29,528789,ZBX,ZBX,2pm=,>HRN BN >HRN BN JFR>L,65885,VbPred,2011,945037
ZBX TWDH,Leviticus,22,29,528789,ZBX,ZBX TWDH,...,...,65886 65887,Obj1,2012 2013,...
TWDH,Leviticus,22,29,528789,ZBX,TWDH,...,...,65887,#NAVN?,2013,...
L-JHWH,Leviticus,22,29,528789,ZBX,L JHWH,0sm=JHWH,JHWH,65888 65889,Compl1,2014,945039
L-RYNKM,Leviticus,22,29,528790,ZBX,L RYWN+232,...,...,65890 65891,Adjunc,2015 2016,...
sfx:KM,Leviticus,22,29,528790,ZBX,sfx,2pm=,>HRN BN >HRN BN JFR>L,65891,#NAVN?,2016,65891
TZBXW,Leviticus,22,29,528790,ZBX,ZBX,2pm=,>HRN BN >HRN BN JFR>L,65892,VbPred,2017,945041
B--JWM H-HW>,Leviticus,22,30,528791,>KL,B H JWM H HW>,...,...,65893 65894 65895 65896 65897,Time,2018,...
J>KL,Leviticus,22,30,528791,>KL,>KL,3sm=CWR FH,CWR FH,65898,VbPred,2019,945043
TWTJRW,Leviticus,22,30,528792,JTR,JTR,2pm=,>HRN BN >HRN BN JFR>L,65900,VbPred,2020,945045
sfx:W,Leviticus,22,30,528792,JTR,sfx,3sm=CWR FH,CWR FH,65901,Compl1,2021,65901
<D BQR,Leviticus,22,30,528792,JTR,<D BQR,...,...,65902 65903,Time,2022,...
>NJ,Leviticus,22,30,528793,....,>NJ,1sc=>NJ,JHWH,65904,Subj,2023,945048
JHWH,Leviticus,22,30,528793,....,JHWH,0sm=JHWH,JHWH,65905,PrCompl,2024,945049
CMRTM,Leviticus,22,31,528794,CMR,CMR,2pm=,>HRN BN >HRN BN JFR>L,65907,VbPred,2025,945051
MYWTJ,Leviticus,22,31,528794,CMR,MYWH+110,3pf=MYWH+>NJ,MYWH JHWH,65908,Obj1,2026 2027,945052
sfx:J,Leviticus,22,31,528794,CMR,sfx,1sc=>NJ,JHWH,65908,#NAVN?,2027,65908
<FJTM,Leviticus,22,31,528795,<FH,<FH,2pm=,>HRN BN >HRN BN JFR>L,65910,VbPred,2028,945054
sfx:M,Leviticus,22,31,528795,<FH,sfx,3pf=MYWH+>NJ,MYWH JHWH,65911,Obj1,2029,65911
>NJ,Leviticus,22,31,528796,....,>NJ,1sc=>NJ,JHWH,65912,Subj,2030,945056
JHWH,Leviticus,22,31,528796,....,JHWH,0sm=JHWH,JHWH,65913,PrCompl,2031,945057
