surface_text,book,chapter,verse,clause_atom,predicate,reference,participant,actor,slots,func,compound,otype
sfx:KM,Leviticus,17,12,528207,>KL,sfx,2pm=,BN JFR>L,63279,#NAVN?,174,63279
T>KL,Leviticus,17,12,528207,>KL,>KL,3sf=NPC,NPC_3,63281,VbPred,175,943327
DM,Leviticus,17,12,528207,>KL,DM,0sm=DM,DM,63282,Obj1,176,943328
H-GR,Leviticus,17,12,528208,....,H GR,3sm=GR,GR,63284 63285,Subj,177,943330
GR,Leviticus,17,12,528209,....,GWR,3sm=GR,GR,63287,PrCompl,178,943332
B-TWKKM,Leviticus,17,12,528209,....,B TWK+232,...,...,63288 63289,Compl1,179 180,...
sfx:KM,Leviticus,17,12,528209,....,sfx,2pm=,BN JFR>L,63289,#NAVN?,180,63289
J>KL,Leviticus,17,12,528210,>KL,>KL,3sm=GR,GR,63291,VbPred,181,943335
DM,Leviticus,17,12,528210,>KL,DM,0sm=DM,DM,63292,Obj1,182,943336
>JC >JC,Leviticus,17,13,528211,....,>JC >JC,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63294 63295,572,183 184 185,943338
>JC,Leviticus,17,13,528211,....,>JC,...,...,63294,#NAVN?,184,...
>JC,Leviticus,17,13,528211,....,>JC,0sm=>JC,>JC,63295,#NAVN?,185,1317331
M-BNJ JFR>L W-MN H-GR,Leviticus,17,13,528211,....,MN BN JFR>L W MN H GR,...,...,63296 63297 63298 63299 63300 63301 63302,#NAVN?,186 187 188 189,...
M-BNJ JFR>L,Leviticus,17,13,528211,....,MN BN JFR>L,3pm=BN JFR>L,BN JFR>L,63296 63297 63298,#NAVN?,187 188,1317334
JFR>L,Leviticus,17,13,528211,....,JFR>L,JFR>L,JFR>L,63298,#NAVN?,188,1317333
MN H-GR,Leviticus,17,13,528211,....,MN H GR,3sm=GR,GR,63300 63301 63302,#NAVN?,189,1317335
GR,Leviticus,17,13,528212,....,GWR,3sm=GR,GR,63304,PrCompl,190,943341
B-TWKM,Leviticus,17,13,528212,....,B TWK+332,...,...,63305 63306,Compl1,191 192,...
sfx:KM,Leviticus,17,13,528212,....,sfx,3pm=BN JFR>L,BN JFR>L,63306,#NAVN?,192,63306
JYWD,Leviticus,17,13,528213,YWD,YWD,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63308,VbPred,193,943344
YJD XJH >W <WP,Leviticus,17,13,528213,YWD,YJD XJH >W <WP,3sm=YJD XJH <WP,YJD XJH <WP,63309 63310 63311 63312,Obj1,194 195 196 197,943345
XJH >W <WP,Leviticus,17,13,528213,YWD,XJH >W <WP,...,...,63310 63311 63312,#NAVN?,195 196 197,...
XJH,Leviticus,17,13,528213,YWD,XJH,...,...,63310,#NAVN?,196,...
<WP,Leviticus,17,13,528213,YWD,<WP,...,...,63312,#NAVN?,197,...
J>KL,Leviticus,17,13,528214,>KL,>KL,3sm=YJD XJH <WP,YJD XJH <WP,63314,VbPred,198,943347
CPK,Leviticus,17,13,528215,CPK,CPK,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63316,VbPred,199,943349
>T DMW,Leviticus,17,13,528215,CPK,>T DM+312,3sm=DM+YJD XJH <WP,DM YJD XJH <WP,63317 63318,Obj1,200 201,943350
sfx:W,Leviticus,17,13,528215,CPK,sfx,3sm=YJD XJH <WP,YJD XJH <WP,63318,#NAVN?,201,63318
KSHW,Leviticus,17,13,528216,KSH,KSH,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63320,VbPred,202 203,943352
sfx:W,Leviticus,17,13,528216,KSH,sfx,3sm=DM+YJD XJH <WP,DM YJD XJH <WP,63320,Obj1,203,63320
B--<PR,Leviticus,17,13,528216,KSH,B H <PR,...,...,63321 63322 63323,Compl1,204,...
NPC KL BFR,Leviticus,17,14,528217,....,NPC KL BFR,0sf=NPC BFR,NPC BFR,63325 63326 63327,572,205 206,943355
BFR,Leviticus,17,14,528217,....,BFR,3sm=BFR,BFR,63327,#NAVN?,206,1317342
DMW,Leviticus,17,14,528218,....,DM+312,0sm=DM+BFR,DM BFR,63328,572,207 208,943356
